人物节点,中心性,介数中心性,接近中心性,k壳,特征向量中心性,PageRank值
Valjean,0.474,0.570,0.644,8.000,0.268,0.100
Gavroche,0.289,0.165,0.514,9.000,0.318,0.028
Marius,0.250,0.132,0.531,9.000,0.259,0.052
Javert,0.224,0.054,0.517,8.000,0.184,0.027
Thenardier,0.211,0.075,0.517,8.000,0.188,0.036
Fantine,0.197,0.130,0.461,7.000,0.090,0.027
Enjolras,0.197,0.043,0.481,9.000,0.267,0.037
Courfeyrac,0.171,0.005,0.400,9.000,0.232,0.033
Bossuet,0.171,0.031,0.475,9.000,0.242,0.026
Bahorel,0.158,0.002,0.394,9.000,0.222,0.016
Joly,0.158,0.002,0.394,9.000,0.222,0.018
MmeThenardier,0.145,0.029,0.461,7.000,0.122,0.020
Cosette,0.145,0.024,0.478,6.000,0.111,0.037
